Epoch 0, Training loss: 1.1909, Validation loss: 0.9357
Epoch 1, Training loss: 1.1776, Validation loss: 0.9253
Epoch 2, Training loss: 1.1638, Validation loss: 0.9147
Epoch 3, Training loss: 1.1500, Validation loss: 0.9041
Epoch 4, Training loss: 1.1375, Validation loss: 0.8945
Epoch 5, Training loss: 1.1252, Validation loss: 0.8853
Epoch 6, Training loss: 1.1132, Validation loss: 0.8763
Epoch 7, Training loss: 1.1012, Validation loss: 0.8675
Epoch 8, Training loss: 1.0897, Validation loss: 0.8589
Epoch 9, Training loss: 1.0782, Validation loss: 0.8505
Epoch 10, Training loss: 1.0670, Validation loss: 0.8422
Epoch 11, Training loss: 1.0557, Validation loss: 0.8339
Epoch 12, Training loss: 1.0452, Validation loss: 0.8260
Epoch 13, Training loss: 1.0348, Validation loss: 0.8182
Epoch 14, Training loss: 1.0248, Validation loss: 0.8104
Epoch 15, Training loss: 1.0152, Validation loss: 0.8028
Epoch 16, Training loss: 1.0058, Validation loss: 0.7954
Epoch 17, Training loss: 0.9967, Validation loss: 0.7881
Epoch 18, Training loss: 0.9879, Validation loss: 0.7811
Epoch 19, Training loss: 0.9798, Validation loss: 0.7744
Epoch 20, Training loss: 0.9717, Validation loss: 0.7677
Epoch 21, Training loss: 0.9638, Validation loss: 0.7612
Epoch 22, Training loss: 0.9564, Validation loss: 0.7550
Epoch 23, Training loss: 0.9491, Validation loss: 0.7489
Epoch 24, Training loss: 0.9415, Validation loss: 0.7425
Epoch 25, Training loss: 0.9342, Validation loss: 0.7365
Epoch 26, Training loss: 0.9263, Validation loss: 0.7304
Epoch 27, Training loss: 0.9193, Validation loss: 0.7249
Epoch 28, Training loss: 0.9117, Validation loss: 0.7190
Epoch 29, Training loss: 0.9049, Validation loss: 0.7141
Epoch 30, Training loss: 0.8988, Validation loss: 0.7101
Epoch 31, Training loss: 0.8922, Validation loss: 0.7056
Epoch 32, Training loss: 0.8864, Validation loss: 0.7017
Epoch 33, Training loss: 0.8807, Validation loss: 0.6979
Epoch 34, Training loss: 0.8750, Validation loss: 0.6942
Epoch 35, Training loss: 0.8690, Validation loss: 0.6902
Epoch 36, Training loss: 0.8637, Validation loss: 0.6868
Epoch 37, Training loss: 0.8585, Validation loss: 0.6833
Epoch 38, Training loss: 0.8533, Validation loss: 0.6799
Epoch 39, Training loss: 0.8481, Validation loss: 0.6764
Epoch 40, Training loss: 0.8434, Validation loss: 0.6733
Epoch 41, Training loss: 0.8386, Validation loss: 0.6701
Epoch 42, Training loss: 0.8337, Validation loss: 0.6668
Epoch 43, Training loss: 0.8289, Validation loss: 0.6637
Epoch 44, Training loss: 0.8243, Validation loss: 0.6606
Epoch 45, Training loss: 0.8193, Validation loss: 0.6572
Epoch 46, Training loss: 0.8148, Validation loss: 0.6543
Epoch 47, Training loss: 0.8104, Validation loss: 0.6513
Epoch 48, Training loss: 0.8056, Validation loss: 0.6482
Epoch 49, Training loss: 0.8011, Validation loss: 0.6451
Epoch 50, Training loss: 0.7968, Validation loss: 0.6421
Epoch 51, Training loss: 0.7931, Validation loss: 0.6395
Epoch 52, Training loss: 0.7893, Validation loss: 0.6370
Epoch 53, Training loss: 0.7857, Validation loss: 0.6346
Epoch 54, Training loss: 0.7822, Validation loss: 0.6323
Epoch 55, Training loss: 0.7783, Validation loss: 0.6298
Epoch 56, Training loss: 0.7748, Validation loss: 0.6276
Epoch 57, Training loss: 0.7716, Validation loss: 0.6254
Epoch 58, Training loss: 0.7682, Validation loss: 0.6232
Epoch 59, Training loss: 0.7649, Validation loss: 0.6210
